OBJECTID,PHpH,ALK_MGL,COND_USCM,BOD_MGL,NO2_N_MGL,CUSOL1_MGL,CUSOL2_UGL,FESOL1_UGL,ZN_SOL_UGL
1115,7.7,95,275,2.4,0.011,0.0022,0.76,146.51,5
1147,7.5,68,225,2,0.005,0.0011,1.36,720.25,5
1148,7.8,94,274,2,0.014,0.0015,0.81,397.38,5
1523,7.8,58,176,2,0.005,0.0022,0.55,198.73,5
1555,7.6,42,136,2.4,0.005,0.001,1,728.88,5
1556,7.8,65,182,2,0.005,0.0031,0.57,573.49,5
1903,7.5,87,259,2,0.01,,1.43,211.26,5
1904,9,116,333,2,0.009,,0.74,92.24,5
1934,7.8,65,215,2,0.009,0.0012,1.49,458.88,5
1935,7.5,49,179,2,0.012,0.0022,1.89,478.69,2.74
2812,7.4,34,149,2,0.006,,1.18,286.37,5
2813,7.6,26,121,2,0.006,0.001,1.81,237.27,5
2843,7.4,26,124,2,0.008,0.0011,0.99,372.61,5
2844,7.3,19,108,2,0.007,0.0019,1.09,521.41,5.6
3434,7.5,46,164,2.3,0.012,,1.52,373.7,5
3435,8,58,200,2,0.012,,1.34,291.67,5
3465,7.5,48,182,2,0.018,0.001,2.37,541.94,5
3466,7.3,34,145,2.2,0.015,0.0016,2.59,444.76,4.05
4217,6.3,10,59,2,0.006,,0.71,1645.52,5
4218,6,10,61,2,0.006,0.001,0.34,1300.65,5
4249,6.5,10,58,,0.006,0.001,,,
4250,5.6,10,49,2.4,0.009,0.0016,0.55,997.11,11.57
4365,6.9,16,97,2,0.009,,1.39,1332.33,5
4391,6.2,10,87,2,0.016,0.0033,1.46,1630.32,8.24
4885,7.4,49,195,2,0.01,0.003,1.54,279.88,5
4911,7.5,45,204,4.8,0.024,0.0019,2.76,383.29,8.84
5104,8.1,45,140,2,0.005,,0.92,1074.9,5
5105,7.5,23,97,2,0.005,,1.05,742.13,10.07
5135,7.4,38,136,2,0.005,,0.92,1009.48,5
5136,7.4,17,81,2,0.006,0.0025,1.25,795.54,5
5388,7.2,41,169,2,0.015,,1.34,324.88,5
5389,7.1,20,105,2,0.009,0.0029,1.19,405.33,5
5419,7.4,35,152,,0.009,,1.06,464.86,5
5420,6.9,14,87,2.1,0.013,,1.47,839.45,5
5645,7.2,19,101,2,0.008,,0.9,429.34,5
5671,6.8,14,87,2.1,0.012,0.0019,1.28,872.9,8.25
6177,7.1,10,70,2,0.005,,0.83,599.85,5
6203,6.4,10,59,2,0.01,0.0026,0.7,997.88,5
6510,7,10,72,2,0.005,0.0026,0.86,537.01,5
6536,6.3,10,59,2,0.01,0.001,1.26,1095.21,11.86
6821,7.8,12,78,2,0.005,,0.58,786.39,5
6822,7,10,64,2,0.005,,0.55,839.15,5
6852,7.3,10,72,2,0.006,0.0022,0.41,1238.45,5
6853,6.4,10,54,2.5,0.011,0.0029,0.65,1194.85,11.55
7627,7.7,57,177,2,0.005,,1,418.18,5
7913,7.2,30,111,2,0.005,0.0015,1,1574.75,5
7914,7.2,18,91,2,0.005,0.0022,0.52,1462.86,5
8285,7.2,47,153,2,0.009,,1.07,798.28,5
8311,7.5,35,169,2,0.008,0.001,1.74,710.23,5
8869,7.4,55,168,2,0.005,0.001,1,1449.93,5
8870,7.1,27,113,2,0.007,0.0025,0.88,1349.95,5
9204,7.6,32,124,2.7,0.005,,0.85,241.74,5
9205,7.2,20,89,2,0.005,0.0018,1.03,382.03,5
9236,7,20,102,2,0.007,0.0015,1.75,525.69,5
9237,7.3,17,90,2,0.005,0.001,1.6,552.95,5
9536,7.4,20,84,2,0.005,0.0011,1,756.59,6.11
9844,7.4,32,114,2,0.005,0.0014,1,883.96,5
9845,7.2,22,94,2,0.005,0.0027,2.74,790.3,5
10097,6.9,17,82,2,0.005,0.0013,1.08,1118.68,5
10413,7.4,19,75,2,0.005,,1,1488.8,5
10414,7.2,12,62,2.1,0.005,0.0019,1.26,919.87,5
10699,7.7,21,83,2,0.005,,1.1,875,5
10700,8.4,40,129,2,0.005,,0.78,832,5
10730,7,12,78,2,0.008,0.0011,1.09,995,5.25
10731,6.4,8,62,2,0.008,0.0025,1.27,929,8.04
11187,7.2,23,92,2,0.005,,0.77,123.68,5
11188,7.2,11,62,2,0.005,0.001,0.88,345.4,5
11218,6.9,15,75,2,0.005,,1.51,442.16,5
11219,6.9,10,61,2,0.005,0.001,1.43,498.58,5
11742,7.1,47,156,2,0.005,0.0018,1,359.43,5
12082,7.2,29,98,2,0.005,0.0015,1,156.4,5
12681,7.8,64,231,2,0.02,,2.35,461.15,5
12682,7.7,62,247,2,0.02,0.0019,2.37,420.81,5
13562,7.7,55,193,2,0.018,0.0017,1.65,437.3,5
13563,7.6,44,169,2,0.01,0.001,1.63,625.49,5
13772,7.7,75,224,2.1,0.017,0.0034,2.42,408.25,5
14342,7.6,30,122,2,0.009,0.0014,0.47,824.01,5
14639,7.5,70,231,2,0.019,0.0012,1.97,535.47,5
14640,7.5,69,222,2,0.015,0.001,1.98,521.2,5
15045,7.6,63,213,2,0.019,,3.1,374.2,6.61
15342,7.4,75,248,2,0.026,0.0014,2.21,464.14,5
15595,7.6,74,216,2,0.009,,1.01,604.9,5
15760,7.5,32,158,2,0.013,0.0024,2.51,450.75,5
15992,7.3,39,158,2,0.018,0.0016,2,548.26,5
16157,7.4,36,166,2,0.01,0.003,1.87,450.51,5
16321,7.4,39,173,2,0.014,0.0018,3.56,517.88,5
16782,7.5,42,191,2.3,0.02,0.001,2.71,459.19,5
16783,7.4,56,209,2.4,0.019,0.0013,2.08,403.83,5
17337,7.3,38,167,2,0.016,0.0016,2.36,582.24,5
17656,7.4,49,212,2.1,0.022,0.0018,2.33,426.05,5
17657,7.3,69,241,2,0.024,0.0032,1.75,381.84,5
17832,7.4,64,265,2,0.019,,2.77,267.84,5
18100,7.7,69,233,2,0.02,0.0012,3.34,469.57,5
18264,7.2,76,260,2,0.021,0.0014,3.09,426.94,5.24
18531,7.5,50,223,2,0.026,0.0015,2.41,330.76,5
18844,7.5,56,219,2.7,0.024,0.0015,3.01,381.11,5
18845,7.4,69,237,5.6,0.019,0.0018,2.16,352.84,6.16
19176,7,58,211,2,0.018,0.0012,2.89,476.34,5
19242,7.4,33,170,2,0.022,0.0016,1.73,913.79,5
19762,7.3,54,227,2,0.024,,2.75,347.95,5
20016,7.5,54,203,2,0.018,0.0015,2.21,433.14,5
20499,7.4,55,238,2,0.024,0.0015,2.73,307.14,5
20800,7.3,49,201,2,0.016,0.001,3.13,333.97,5.26
20949,7.7,16,76,2,0.005,0.0017,1.18,334.19,5
20975,7,15,78,2,0.005,0.0016,1.73,456.39,5
21125,7.2,56,195,2,0.015,0.0016,2.37,611.06,5
21559,7.5,10,66,2,0.005,,0.33,209.1,5
21560,7.8,10,68,2,0.005,,0.34,420.02,5
21591,6.7,10,67,2,0.005,0.0027,0.4,325.42,5
21592,6.1,10,57,2,0.008,,0.34,743.18,6.22
21671,6.9,27,118,2,0.009,0.0017,1.36,967.12,5
21727,7.2,27,142,2.5,0.017,0.0014,2,797.94,6
21806,7.4,49,158,2,0.009,0.0023,1.43,628.3,5
21832,7.3,37,135,2.2,0.012,0.0028,1.56,667.17,5
21939,7.4,36,128,2,0.005,0.0015,1.62,769.51,7.29
21940,7.4,27,111,2,0.006,0.0019,1.26,627.6,5
21991,7.3,60,183,2.3,0.005,0.0025,1,784.26,5
21992,7.3,35,129,2,0.005,0.0017,0.94,1116.12,5
22020,7.1,10,63,2,0.005,,0.42,308.59,5
22021,7,10,62,2,0.005,0.0025,0.61,510.9,5
22052,6.6,10,58,,0.006,0.0031,0.3,436.35,5
22053,5.8,10,52,2,0.009,,2.72,940.27,8.55
22097,7.2,55,183,2,0.009,0.0016,2.2,525.93,5
22497,7.5,49,175,2.1,0.005,0.001,0.68,2116.48,5
22498,7.2,28,122,2,0.005,0.003,1.15,1878.07,5
22528,7.6,37,155,2,0.005,0.0033,0.94,2297.56,5
22529,7,10,85,2,0.013,,1.31,1646.61,5
22727,8,29,128,2,0.007,0.0034,1.97,1374.74,5
22753,7.3,14,113,2,0.011,,3.03,1307.16,10.12
22935,7.5,91,305,2,0.008,0.0025,1,242.25,5
22961,7.2,66,256,2,0.012,,2.49,705.92,5
23746,7.6,48,167,2.5,0.005,0.003,1.33,489.32,5
23772,7.3,26,125,2,0.011,,2.79,691.52,5.77
24014,7.7,53,175,2.3,0.005,0.0033,1.33,343.34,5
24040,7.3,28,126,2,0.01,,2.61,524.5,5
24535,7.6,60,197,2,0.006,0.0027,1.26,702.08,5
24561,7.3,35,169,2,0.012,,2.81,702.5,7.11
25004,7.7,46,178,3.1,0.005,,1.36,1170.7,5
25005,7.6,29,128,2.2,0.005,0.0026,1.59,1234.77,5
25035,7.6,36,162,,0.005,0.0047,1.62,1483.9,5
25036,6.9,14,100,2,0.013,,2.04,1173.12,5.78
26616,7.5,61,203,2,0.007,,4.33,372.09,5
26617,8.3,102,307,2,0.011,,0.96,141.48,5
26648,7.7,92,308,2,0.014,0.0021,1.57,358.34,5
26649,7.4,64,247,2,0.012,0.002,3.14,391.74,2.89
27046,7.8,80,251,2,0.008,,1.08,231.09,5
27079,7.8,50,184,2.6,0.01,0.0025,2.14,403.5,5
30563,7.6,59,218,2,0.008,0.0021,1.36,390.83,5
30564,7.9,72,241,2,0.008,,1.24,504.8,5
30594,7.6,50,192,2,0.007,0.0025,1.9,604.02,5
30595,7.4,30,141,2,0.008,0.0019,2.81,641,4.41
30756,8.1,43,136,2,0.005,0.0042,1.12,443.64,6.18
30782,7.1,24,99,2,0.007,0.0018,1.9,519.61,5
30928,7.6,47,155,2,0.005,0.0044,0.98,246.76,5
30955,7.1,24,110,2,0.007,0.001,2.55,475.32,5
31450,7.9,72,205,2,0.013,0.0011,1.22,194.53,5
31680,7.8,59,181,2,0.008,0.0014,1.18,195.46,5
31681,7.7,48,161,2,0.005,0.001,1.17,202.45,5
31856,7.7,49,158,2,0.009,0.0018,0.91,328.99,5
32032,7.9,84,230,2,0.016,0.0016,1.42,89.12,5
32210,7.8,103,278,2,0.021,0.0019,1.9,237.06,5
32388,7.8,43,129,2,0.008,0.0013,1.52,280.84,5
32566,7.7,47,159,2,0.008,0.0013,1.29,321.62,5
32794,7.8,60,228,2.2,0.013,0.0012,2.8,164.75,5
32795,7.8,55,208,2,0.007,,2.31,115.23,5
32967,7.8,41,139,2,0.007,0.0013,2.81,269.82,6.99
33149,8,129,367,2.1,0.036,,2.69,86.73,5
33291,7.8,57,238,2,0.021,0.0019,3.15,475.9,5
33616,7.7,119,415,2.6,0.032,,1.88,189.35,5
33800,7.7,108,231,2.1,0.063,0.0012,4.35,187.17,5
33908,7.7,51,331,2,0.029,,3.15,435.55,5
34082,7.6,43,222,2.4,0.008,0.0011,3.85,235.76,10.58
34260,7.7,124,136,2.4,0.047,,3.06,86.9,5
34996,7.8,80,274,2,0.023,0.0011,2.91,296.55,5
34997,7.9,79,264,2,0.018,,2.32,244.61,5
35293,7.9,85,362,2.5,0.022,0.0013,2.24,268.18,5
35590,7.9,103,273,2,0.033,0.0018,2.45,359.91,5
35890,7.7,67,319,2,0.018,,2.22,187.18,5
36184,7.8,68,223,2,0.01,,3.02,204.35,5
36564,7.9,92,221,2.1,0.014,,1.85,173.21,5
37297,7.9,81,297,2,0.016,0.0015,1.69,313.56,5
37662,8.2,142,366,2,0.007,,1.07,51.16,5
37694,8.2,144,398,2,0.012,0.0033,1.47,50,5
38814,8.2,142,382,2,0.013,,1.09,50,5
38846,8.2,141,398,2,0.011,0.0032,2.57,50,5
41510,8.4,158,391,2,0.011,,1.18,50,5
41511,8.5,159,411,2.3,0.009,,1.49,50,5
41541,8.2,178,476,2,0.006,0.004,1.81,50,5
41542,7.8,70,253,6,0.023,,5.9,206.71,5.81
41777,8.5,157,374,2.2,0.014,0.0039,1.22,86.04,5
41803,7.4,43,169,2,0.012,,5.33,234.61,5
42140,8,134,335,2,0.006,0.0045,2.07,179.05,5
42166,7.3,38,154,2,0.009,0.0019,4.88,267.16,5
42568,8.2,127,344,2.6,0.013,,2.26,161.08,5
42569,8.2,135,362,2.5,0.036,0.0041,2.17,83.07,5
42599,7.9,164,528,,0.046,0.0037,1.6,50.88,5
42600,7.7,59,231,6.2,0.019,,6.41,258.88,5
42835,8.3,127,319,2,0.005,0.0039,1.83,152.76,5
42861,7.5,41,159,2.9,0.011,0.0025,5.02,241.7,5
43085,6.9,10,58,2,0.01,0.0012,0.95,136.47,5.98
43086,6.8,10,55,2,0.005,,0.65,122.4,5
43259,7.5,30,209,2,0.01,0.001,5.24,215.83,22.36
43808,7.3,47,366,2,0.008,0.001,6.63,112.32,5.86
43982,7.7,45,294,2,0.033,,3.29,78.65,5
44155,7.1,37,242,3,0.035,0.001,3.53,242.35,6.4
44456,7.3,19,145,2,0.011,0.0012,2.31,56.96,5
45604,7.8,,270,2,0.027,0.0027,2.32,124.77,5
45605,7.6,48,274,2,0.041,0.002,2.89,108.24,5
46848,7.6,49,273,2,0.043,,4.4,105.38,6.3
46849,,,,,0.034,0.0031,,,
47291,7.2,27,190,2,0.02,0.001,2.8,164.87,5.02
47292,,,,,0.033,,,,
47801,7.1,32,214,2,0.054,0.001,3.26,211.04,6.82
47802,,,,,0.041,0.003,,,
48141,7.1,15,128,2,0.012,,2.2,90.09,5
48142,7.1,20,143,2,0.008,,1.65,76.17,5
48822,7.9,,519,2,0.035,0.0027,3.04,127.9,5
49324,7.5,48,329,2,0.053,0.0021,10.01,145.65,7.68
50046,7.5,38,274,2,0.037,0.0012,5.9,126.69,13.73
50271,7.7,117,330,2.1,0.016,0.001,2.11,282.58,5
50813,7.7,127,440,2,0.029,,4.31,219.06,5
51278,7.7,46,218,2,0.012,,2.9,161.64,5.54
51622,7.5,70,225,2,0.008,,2.49,170.65,53.17
51653,7.5,47,212,2,0.009,0.0014,2.85,175.1,49.53
51654,7.6,44,202,2,0.012,,3.49,211.61,111.26
51820,7.8,96,349,2,0.021,,3.03,115.19,5
51863,7.9,115,404,2,0.019,0.0016,4.47,91.38,5
52037,7.7,131,417,2,0.038,0.002,3.09,116.92,5
52246,7.6,96,294,2,0.017,0.0014,3.61,387.7,5
52456,7.8,104,314,2.2,0.018,0.0013,3.41,306.62,5
52673,7.7,125,366,2,0.02,0.0019,2.62,167.95,5
53339,8,208,508,2.6,0.018,,1.35,69.61,5
53372,7.7,137,436,2,0.03,,2.78,206.43,5
53373,7.7,112,346,2,0.022,0.0022,3.85,241.5,5
53634,7.7,103,309,2,0.019,,2.84,286.66,5
53891,7.8,109,320,2,0.019,0.0018,2.92,271.15,5
54220,7.7,120,343,2,0.018,0.002,2.54,224.63,5
54514,7.7,117,325,2,0.015,0.002,2.37,269.49,5
54844,7.7,114,321,2,0.015,0.002,2.02,288.92,8.51
56112,7.6,138,435,2,0.031,0.0019,5.73,136.12,5
56562,7.9,97,365,2,0.04,0.0012,4.78,133.27,5
56975,7.8,144,472,2,0.031,0.0018,3.18,153.04,5
57390,7.8,119,395,2,0.026,,3.78,119.31,9.86
57889,7.8,90,336,2,0.02,0.001,3.29,120.42,5
58217,7.8,108,328,2,0.021,0.0014,3.46,282.16,5
58509,7.7,129,416,2,0.038,,3.19,128.67,5
59214,8,254,605,4,0.023,0.0035,1,85.01,5
59441,8,213,494,2,0.032,0.0023,1.01,87.45,5
59668,7.7,86,248,2,0.007,,1,130.94,5
59851,7.7,126,336,2.2,0.02,,2.93,69.32,5
60011,7.8,208,510,2.1,0.065,,1.12,135.05,5
60238,8,173,433,2,0.031,0.0036,1.22,249.45,5
60430,7.9,147,366,2,0.016,,1.04,81.14,5
60621,7.7,36,142,2,0.009,0.0018,1,520.35,5
60812,7.8,66,213,2,0.005,0.0028,1.32,162.75,5
61003,7.9,125,336,2,0.017,0.0022,1,283.9,5
61440,8,136,472,2,0.041,0.001,1.41,124.57,5
61441,7.9,117,373,2,0.035,0.001,2.03,200.24,5
62101,7.9,96,276,2,0.027,0.0023,1,120.84,5
62102,7.8,72,229,2,0.014,0.0025,1.55,300.11,5
62375,7.7,49,176,2,0.011,,1,291.63,5
62376,7.5,36,147,2,0.007,0.0032,1.38,543.98,5
62854,7.9,73,221,2,0.005,0.0016,1.2,50,5
63165,7.9,147,390,2.1,0.022,,1.61,91.95,5
63513,8.1,162,410,2,0.016,0.0018,1.05,124.11,5
63787,7.9,103,285,2,0.013,0.0018,1,268.42,5
63981,7.5,50,264,2,0.011,0.001,2.69,379.45,5
63982,7.6,74,245,2,0.007,,1.77,293.47,5
64175,7.5,47,203,2.9,0.012,,4.99,297.28,18.74
64402,7.1,16,91,2,0.009,0.001,1.84,723.26,6.22
64403,7.3,25,105,2,0.005,0.002,15.36,561.34,11.77
64724,7.3,20,100,2,0.008,0.001,2,556.22,5
64899,7.5,34,130,2,0.006,0.001,2.08,284.72,5
65073,7.3,10,55,2,0.007,,1,571.89,5
65112,7.4,71,245,2,0.013,0.001,2.48,214.12,5
65530,7.4,39,204,2,0.017,0.001,3.39,402.77,5
65987,7.5,95,391,2,0.032,0.001,4.84,162.04,5
66246,7.5,69,253,2,0.016,,3.03,152.74,5
66505,7.3,52,289,2.2,0.019,0.001,4.14,412.93,5
66680,8.1,226,524,2,0.01,0.0018,1.43,140.05,5
66870,8.5,208,509,2,0.02,,1.67,54.8,5
66895,7.4,65,263,4.8,0.023,0.0021,11.3,367.15,9.68
67236,8.1,115,329,2.3,0.009,0.0014,2.4,50,5
67515,8.2,207,487,2,0.03,,2.75,50,5
67516,8.5,222,516,2.1,0.01,0.0037,1.67,50,5
67546,8.2,234,536,,0.006,0.0039,0.94,50,5
67547,7.7,73,242,4.5,0.026,0.0036,8.32,290.51,5
67877,8.4,163,405,4.6,0.005,0.0035,2.44,50,5
67903,7.9,114,385,2.6,0.019,0.0027,3.19,63.26,5
68091,8,116,331,2.5,0.007,0.0016,1.37,50,5
68377,8.1,117,333,3.8,0.012,0.0012,2.91,50,5
69003,8.1,150,387,2,0.013,,0.67,92.29,5
69034,8,127,381,2.3,0.021,0.0016,3.66,657.22,5
69035,8,144,397,2,0.049,0.0017,2.84,550.11,5
69854,8.4,154,375,2.8,0.006,,0.83,119.35,5
69885,8.2,154,380,2,0.005,0.0015,1.42,135.75,5
69886,8.2,166,401,2,0.006,0.0038,1.09,96.36,5
71093,8.9,118,312,5.1,0.006,0.0026,2.05,55.56,5
71123,7.9,108,334,2.6,0.017,0.0019,2.48,85.09,5
71124,7.9,96,300,2,0.013,0.0013,2.48,81.67,1
72178,9,99,281,3.7,0.006,,2.18,50,5
72209,8.1,116,331,3,0.005,0.0015,1.32,50,5
72210,8.1,113,330,2.3,0.008,0.0014,1.81,50,5
74349,8.2,176,455,2,0.01,,1.06,50,5
74350,8.4,193,457,2,0.011,0.0031,0.94,50,5
74380,8.1,204,478,,0.011,0.002,1.17,50,5
74381,7.6,67,231,2.9,0.019,0.0026,6.32,264.59,5
74544,7.7,183,512,2,0.034,,3.31,118.23,5
74693,7.9,113,293,2.4,0.01,,1.13,550.07,5
74724,7.8,86,255,2,0.008,0.0038,1.73,580.45,5
74725,7.8,99,286,2,0.01,0.0031,1.63,559.85,5
74868,8,146,608,2,0.132,0.0041,1,117.53,5
75048,8,147,505,2,0.081,0.0043,1.35,97.31,5
75194,7.7,237,588,2,0.028,,1.65,109.83,5
75227,7.6,138,501,2,0.051,0.0018,4.87,182.21,5
75228,7.6,148,469,2,0.033,0.0013,5.41,144.31,5
75904,9,104,286,2.9,0.007,,2.16,50,5
75935,8.1,115,330,3,0.005,0.0015,1.29,50,5
75936,8.1,114,330,2.4,0.01,0.0021,1.73,50,5
76114,7.4,16,82,2,0.006,0.0017,4.32,951.71,6.86
76115,7.2,13,70,2,0.005,0.0023,1.56,905.72,5
76293,7.4,23,127,2,0.008,0.0011,3.1,50,6.1
76294,7.6,23,124,2,0.005,,2.82,50,5
76472,6.9,10,51,2,0.012,0.0011,1.1,257.49,7.38
76473,7,11,58,2,0.005,0.001,0.78,209.57,5
76624,8.6,79,241,2.7,0.005,,1.38,50,5
76625,7.9,81,246,2.2,0.005,,3.38,50,5
76655,7.9,101,299,2.2,0.008,0.0039,1.2,50,5
76656,7.8,89,279,2,0.011,0.0026,2.18,50,5
76834,7.7,,321,2.8,0.007,0.0022,1.55,175.6,5
76835,7.6,78,309,2.1,0.016,0.0018,4.58,208.31,5
76978,8.7,142,352,11,0.005,,3.11,62.06,5
76979,8.3,164,401,7.5,0.005,0.0038,2.86,50,5
77007,8.4,163,470,4.9,0.005,0.0028,1.15,50,5
77008,8,102,364,3,0.027,0.0022,4.63,88.61,5
77168,7.6,110,442,2,0.014,0.001,2.5,268.89,5
77306,7.9,255,681,2,0.029,0.001,1.66,57.26,5
77332,8.1,230,674,2,0.056,0.0027,2.93,51.89,5
77470,7.7,172,475,2,0.022,0.0033,0.86,169.76,5
77496,7.9,183,601,2,0.053,,3.32,50,5
77656,7.4,58,401,2,0.082,0.001,5.29,135.59,6.38
77756,7.6,54,183,2,0.009,0.0024,1,338.13,5
77757,7.3,40,151,2,0.006,0.003,1.23,603.81,5
77843,7.8,120,342,2,0.022,0.0015,1.5,50,5
77944,7.8,77,233,2,0.023,,1,221.47,5
77945,7.7,55,188,2,0.013,0.0034,1.38,485.74,5
78154,7.8,117,318,2,0.015,0.0018,1.82,230.17,5
78320,7.9,,203,2,0.005,,1.53,245.35,5
78321,7.5,39,142,2,0.005,0.0021,2.03,372.03,5
78524,7.6,145,439,2,0.02,0.002,3.82,86.79,5
78580,7.3,73,84,2,0.037,0.001,5.34,107.76,5
